State,County Code
State: 80,County code: 002
State: 78,County code: 030
State: 78,County code: 010
State: 72,County code: 127
State: 72,County code: 113
State: 72,County code: 097
State: 72,County code: 069
State: 72,County code: 061
State: 72,County code: 059
State: 72,County code: 057
State: 72,County code: 053
State: 72,County code: 025
State: 72,County code: 021
State: 72,County code: 001
State: 56,County code: 045
State: 56,County code: 039
State: 56,County code: 037
State: 56,County code: 035
State: 56,County code: 033
State: 56,County code: 029
State: 56,County code: 025
State: 56,County code: 021
State: 56,County code: 015
State: 56,County code: 013
State: 56,County code: 009
State: 56,County code: 007
State: 56,County code: 005
State: 56,County code: 003
State: 56,County code: 001
State: 55,County code: 133
State: 55,County code: 125
State: 55,County code: 119
State: 55,County code: 111
State: 55,County code: 109
State: 55,County code: 089
State: 55,County code: 087
State: 55,County code: 079
State: 55,County code: 071
State: 55,County code: 063
State: 55,County code: 059
State: 55,County code: 043
State: 55,County code: 041
State: 55,County code: 035
State: 55,County code: 027
State: 55,County code: 025
State: 55,County code: 009
State: 55,County code: 003
State: 54,County code: 107
State: 54,County code: 081
State: 54,County code: 069
State: 54,County code: 061
State: 54,County code: 051
State: 54,County code: 049
State: 54,County code: 039
State: 54,County code: 033
State: 54,County code: 029
State: 54,County code: 011
State: 54,County code: 009
State: 54,County code: 003
State: 53,County code: 077
State: 53,County code: 073
State: 53,County code: 067
State: 53,County code: 065
State: 53,County code: 063
State: 53,County code: 061
State: 53,County code: 057
State: 53,County code: 053
State: 53,County code: 047
State: 53,County code: 037
State: 53,County code: 035
State: 53,County code: 033
State: 53,County code: 011
State: 53,County code: 007
State: 51,County code: 810
State: 51,County code: 775
State: 51,County code: 770
State: 51,County code: 760
State: 51,County code: 710
State: 51,County code: 700
State: 51,County code: 680
State: 51,County code: 650
State: 51,County code: 520
State: 51,County code: 510
State: 51,County code: 165
State: 51,County code: 161
State: 51,County code: 139
State: 51,County code: 107
State: 51,County code: 087
State: 51,County code: 069
State: 51,County code: 059
State: 51,County code: 041
State: 51,County code: 036
State: 51,County code: 013
State: 51,County code: 003
State: 50,County code: 021
State: 50,County code: 007
State: 50,County code: 003
State: 49,County code: 057
State: 49,County code: 053
State: 49,County code: 049
State: 49,County code: 045
State: 49,County code: 035
State: 49,County code: 011
State: 49,County code: 005
State: 49,County code: 003
State: 48,County code: 453
State: 48,County code: 439
State: 48,County code: 375
State: 48,County code: 361
State: 48,County code: 355
State: 48,County code: 303
State: 48,County code: 245
State: 48,County code: 215
State: 48,County code: 203
State: 48,County code: 201
State: 48,County code: 141
State: 48,County code: 139
State: 48,County code: 135
State: 48,County code: 113
State: 48,County code: 061
State: 48,County code: 043
State: 48,County code: 037
State: 48,County code: 029
State: 47,County code: 165
State: 47,County code: 163
State: 47,County code: 157
State: 47,County code: 145
State: 47,County code: 141
State: 47,County code: 125
State: 47,County code: 119
State: 47,County code: 113
State: 47,County code: 107
State: 47,County code: 105
State: 47,County code: 099
State: 47,County code: 093
State: 47,County code: 065
State: 47,County code: 045
State: 47,County code: 037
State: 47,County code: 009
State: 46,County code: 127
State: 46,County code: 103
State: 46,County code: 099
State: 46,County code: 071
State: 46,County code: 033
State: 46,County code: 029
State: 46,County code: 013
State: 46,County code: 011
State: 45,County code: 083
State: 45,County code: 079
State: 45,County code: 073
State: 45,County code: 063
State: 45,County code: 045
State: 45,County code: 041
State: 45,County code: 037
State: 45,County code: 025
State: 45,County code: 019
State: 44,County code: 007
State: 44,County code: 003
State: 42,County code: 133
State: 42,County code: 129
State: 42,County code: 125
State: 42,County code: 101
State: 42,County code: 095
State: 42,County code: 091
State: 42,County code: 089
State: 42,County code: 085
State: 42,County code: 071
State: 42,County code: 069
State: 42,County code: 049
State: 42,County code: 045
State: 42,County code: 043
State: 42,County code: 041
State: 42,County code: 029
State: 42,County code: 027
State: 42,County code: 021
State: 42,County code: 017
State: 42,County code: 013
State: 42,County code: 011
State: 42,County code: 007
State: 42,County code: 005
State: 42,County code: 003
State: 42,County code: 001
State: 41,County code: 067
State: 41,County code: 061
State: 41,County code: 059
State: 41,County code: 051
State: 41,County code: 043
State: 41,County code: 039
State: 41,County code: 037
State: 41,County code: 035
State: 41,County code: 033
State: 41,County code: 029
State: 41,County code: 025
State: 41,County code: 017
State: 41,County code: 013
State: 40,County code: 143
State: 40,County code: 135
State: 40,County code: 121
State: 40,County code: 115
State: 40,County code: 109
State: 40,County code: 101
State: 40,County code: 097
State: 40,County code: 015
State: 40,County code: 001
State: 39,County code: 165
State: 39,County code: 155
State: 39,County code: 153
State: 39,County code: 151
State: 39,County code: 145
State: 39,County code: 135
State: 39,County code: 133
State: 39,County code: 113
State: 39,County code: 103
State: 39,County code: 099
State: 39,County code: 095
State: 39,County code: 093
State: 39,County code: 087
State: 39,County code: 085
State: 39,County code: 081
State: 39,County code: 061
State: 39,County code: 057
State: 39,County code: 049
State: 39,County code: 035
State: 39,County code: 025
State: 39,County code: 023
State: 39,County code: 017
State: 39,County code: 009
State: 39,County code: 003
State: 38,County code: 057
State: 38,County code: 053
State: 38,County code: 017
State: 38,County code: 015
State: 38,County code: 013
State: 38,County code: 007
State: 37,County code: 191
State: 37,County code: 189
State: 37,County code: 183
State: 37,County code: 173
State: 37,County code: 159
State: 37,County code: 155
State: 37,County code: 147
State: 37,County code: 129
State: 37,County code: 123
State: 37,County code: 121
State: 37,County code: 119
State: 37,County code: 117
State: 37,County code: 111
State: 37,County code: 107
State: 37,County code: 101
State: 37,County code: 099
State: 37,County code: 087
State: 37,County code: 081
State: 37,County code: 071
State: 37,County code: 067
State: 37,County code: 065
State: 37,County code: 063
State: 37,County code: 061
State: 37,County code: 057
State: 37,County code: 051
State: 37,County code: 037
State: 37,County code: 035
State: 37,County code: 033
State: 37,County code: 021
State: 37,County code: 001
State: 36,County code: 119
State: 36,County code: 103
State: 36,County code: 101
State: 36,County code: 085
State: 36,County code: 081
State: 36,County code: 071
State: 36,County code: 067
State: 36,County code: 063
State: 36,County code: 061
State: 36,County code: 059
State: 36,County code: 055
State: 36,County code: 047
State: 36,County code: 031
State: 36,County code: 029
State: 36,County code: 013
State: 36,County code: 005
State: 36,County code: 001
State: 35,County code: 049
State: 35,County code: 045
State: 35,County code: 025
State: 35,County code: 017
State: 35,County code: 013
State: 35,County code: 005
State: 35,County code: 001
State: 34,County code: 041
State: 34,County code: 039
State: 34,County code: 031
State: 34,County code: 029
State: 34,County code: 027
State: 34,County code: 023
State: 34,County code: 021
State: 34,County code: 017
State: 34,County code: 015
State: 34,County code: 013
State: 34,County code: 007
State: 34,County code: 003
State: 34,County code: 001
State: 33,County code: 015
State: 33,County code: 013
State: 33,County code: 011
State: 33,County code: 009
State: 33,County code: 005
State: 33,County code: 001
State: 32,County code: 031
State: 32,County code: 003
State: 31,County code: 177
State: 31,County code: 157
State: 31,County code: 153
State: 31,County code: 109
State: 31,County code: 079
State: 31,County code: 055
State: 30,County code: 093
State: 30,County code: 089
State: 30,County code: 087
State: 30,County code: 083
State: 30,County code: 081
State: 30,County code: 075
State: 30,County code: 063
State: 30,County code: 053
State: 30,County code: 049
State: 30,County code: 031
State: 30,County code: 029
State: 29,County code: 510
State: 29,County code: 189
State: 29,County code: 099
State: 29,County code: 095
State: 29,County code: 077
State: 29,County code: 047
State: 29,County code: 039
State: 29,County code: 037
State: 29,County code: 021
State: 28,County code: 081
State: 28,County code: 075
State: 28,County code: 067
State: 28,County code: 059
State: 28,County code: 049
State: 28,County code: 047
State: 28,County code: 045
State: 28,County code: 043
State: 28,County code: 035
State: 28,County code: 033
State: 28,County code: 011
State: 28,County code: 001
State: 27,County code: 145
State: 27,County code: 139
State: 27,County code: 137
State: 27,County code: 123
State: 27,County code: 109
State: 27,County code: 053
State: 27,County code: 037
State: 27,County code: 021
State: 27,County code: 003
State: 26,County code: 163
State: 26,County code: 161
State: 26,County code: 147
State: 26,County code: 139
State: 26,County code: 125
State: 26,County code: 121
State: 26,County code: 115
State: 26,County code: 113
State: 26,County code: 101
State: 26,County code: 099
State: 26,County code: 091
State: 26,County code: 081
State: 26,County code: 077
State: 26,County code: 065
State: 26,County code: 049
State: 26,County code: 033
State: 26,County code: 021
State: 26,County code: 017
State: 26,County code: 005
State: 25,County code: 027
State: 25,County code: 025
State: 25,County code: 023
State: 25,County code: 017
State: 25,County code: 013
State: 25,County code: 009
State: 25,County code: 005
State: 25,County code: 003
State: 24,County code: 510
State: 24,County code: 043
State: 24,County code: 033
State: 24,County code: 031
State: 24,County code: 029
State: 24,County code: 025
State: 24,County code: 023
State: 24,County code: 015
State: 24,County code: 005
State: 24,County code: 003
State: 22,County code: 121
State: 22,County code: 109
State: 22,County code: 105
State: 22,County code: 087
State: 22,County code: 079
State: 22,County code: 073
State: 22,County code: 055
State: 22,County code: 051
State: 22,County code: 047
State: 22,County code: 033
State: 22,County code: 019
State: 22,County code: 017
State: 21,County code: 227
State: 21,County code: 199
State: 21,County code: 195
State: 21,County code: 183
State: 21,County code: 151
State: 21,County code: 145
State: 21,County code: 117
State: 21,County code: 111
State: 21,County code: 101
State: 21,County code: 093
State: 21,County code: 073
State: 21,County code: 067
State: 21,County code: 059
State: 21,County code: 047
State: 21,County code: 043
State: 21,County code: 037
State: 21,County code: 029
State: 21,County code: 019
State: 21,County code: 013
State: 20,County code: 209
State: 20,County code: 191
State: 20,County code: 177
State: 20,County code: 173
State: 20,County code: 107
State: 20,County code: 091
State: 19,County code: 193
State: 19,County code: 177
State: 19,County code: 171
State: 19,County code: 163
State: 19,County code: 155
State: 19,County code: 153
State: 19,County code: 147
State: 19,County code: 139
State: 19,County code: 137
State: 19,County code: 113
State: 19,County code: 111
State: 19,County code: 103
State: 19,County code: 045
State: 19,County code: 013
State: 18,County code: 183
State: 18,County code: 167
State: 18,County code: 163
State: 18,County code: 157
State: 18,County code: 147
State: 18,County code: 141
State: 18,County code: 127
State: 18,County code: 105
State: 18,County code: 097
State: 18,County code: 095
State: 18,County code: 091
State: 18,County code: 089
State: 18,County code: 083
State: 18,County code: 067
State: 18,County code: 065
State: 18,County code: 051
State: 18,County code: 043
State: 18,County code: 039
State: 18,County code: 037
State: 18,County code: 035
State: 18,County code: 019
State: 18,County code: 003
State: 17,County code: 201
State: 17,County code: 197
State: 17,County code: 167
State: 17,County code: 163
State: 17,County code: 161
State: 17,County code: 157
State: 17,County code: 143
State: 17,County code: 119
State: 17,County code: 115
State: 17,County code: 113
State: 17,County code: 111
State: 17,County code: 099
State: 17,County code: 097
State: 17,County code: 089
State: 17,County code: 083
State: 17,County code: 065
State: 17,County code: 043
State: 17,County code: 031
State: 17,County code: 019
State: 17,County code: 001
State: 16,County code: 079
State: 16,County code: 059
State: 16,County code: 041
State: 16,County code: 027
State: 16,County code: 009
State: 16,County code: 005
State: 16,County code: 001
State: 15,County code: 009
State: 15,County code: 003
State: 15,County code: 001
State: 13,County code: 319
State: 13,County code: 303
State: 13,County code: 295
State: 13,County code: 245
State: 13,County code: 223
State: 13,County code: 215
State: 13,County code: 185
State: 13,County code: 153
State: 13,County code: 139
State: 13,County code: 135
State: 13,County code: 127
State: 13,County code: 121
State: 13,County code: 115
State: 13,County code: 095
State: 13,County code: 089
State: 13,County code: 067
State: 13,County code: 063
State: 13,County code: 059
State: 13,County code: 051
State: 13,County code: 021
State: 12,County code: 127
State: 12,County code: 117
State: 12,County code: 115
State: 12,County code: 111
State: 12,County code: 105
State: 12,County code: 103
State: 12,County code: 099
State: 12,County code: 095
State: 12,County code: 086
State: 12,County code: 073
State: 12,County code: 071
State: 12,County code: 057
State: 12,County code: 033
State: 12,County code: 031
State: 12,County code: 017
State: 12,County code: 011
State: 12,County code: 009
State: 12,County code: 001
State: 11,County code: 001
State: 10,County code: 005
State: 10,County code: 003
State: 10,County code: 001
State: 09,County code: 011
State: 09,County code: 009
State: 09,County code: 005
State: 09,County code: 003
State: 09,County code: 001
State: 08,County code: 123
State: 08,County code: 103
State: 08,County code: 101
State: 08,County code: 083
State: 08,County code: 077
State: 08,County code: 069
State: 08,County code: 067
State: 08,County code: 041
State: 08,County code: 039
State: 08,County code: 035
State: 08,County code: 031
State: 08,County code: 013
State: 08,County code: 005
State: 08,County code: 001
State: 06,County code: 113
State: 06,County code: 111
State: 06,County code: 107
State: 06,County code: 101
State: 06,County code: 099
State: 06,County code: 097
State: 06,County code: 095
State: 06,County code: 093
State: 06,County code: 089
State: 06,County code: 087
State: 06,County code: 085
State: 06,County code: 083
State: 06,County code: 081
State: 06,County code: 079
State: 06,County code: 077
State: 06,County code: 075
State: 06,County code: 073
State: 06,County code: 071
State: 06,County code: 069
State: 06,County code: 067
State: 06,County code: 065
State: 06,County code: 063
State: 06,County code: 061
State: 06,County code: 059
State: 06,County code: 057
State: 06,County code: 053
State: 06,County code: 047
State: 06,County code: 045
State: 06,County code: 041
State: 06,County code: 039
State: 06,County code: 037
State: 06,County code: 033
State: 06,County code: 031
State: 06,County code: 029
State: 06,County code: 027
State: 06,County code: 025
State: 06,County code: 023
State: 06,County code: 019
State: 06,County code: 013
State: 06,County code: 011
State: 06,County code: 009
State: 06,County code: 007
State: 06,County code: 001
State: 05,County code: 145
State: 05,County code: 143
State: 05,County code: 139
State: 05,County code: 131
State: 05,County code: 119
State: 05,County code: 115
State: 05,County code: 113
State: 05,County code: 107
State: 05,County code: 067
State: 05,County code: 051
State: 05,County code: 045
State: 05,County code: 035
State: 05,County code: 003
State: 05,County code: 001
State: 04,County code: 027
State: 04,County code: 025
State: 04,County code: 023
State: 04,County code: 021
State: 04,County code: 019
State: 04,County code: 013
State: 04,County code: 005
State: 04,County code: 003
State: 04,County code: 001
State: 02,County code: 170
State: 02,County code: 110
State: 02,County code: 090
State: 02,County code: 020
State: 01,County code: 127
State: 01,County code: 125
State: 01,County code: 121
State: 01,County code: 117
State: 01,County code: 113
State: 01,County code: 103
State: 01,County code: 101
State: 01,County code: 097
State: 01,County code: 089
State: 01,County code: 073
State: 01,County code: 069
State: 01,County code: 055
State: 01,County code: 049
State: 01,County code: 033
State: 01,County code: 027
State: 01,County code: 003
